,video_id,smile_prob,angry_prob,sob_prob,sentiment
0,uq5LClQN3cE,0.8914138078689575,0.03407759219408035,0.07450854033231735,smile
1,I-ZbZCHsHD0,0.8244090080261229,0.05041513219475746,0.1251758486032486,smile
2,3pI_L3-sMVg,0.8283483982086182,0.03738568723201752,0.1342659592628479,smile
3,zrsBjYukE8s,0.8900082111358643,0.032767560333013535,0.07722419500350952,smile
4,jbGRowa5tIk,0.8665689826011658,0.03879604116082192,0.09463496506214142,smile
5,REUA4roJndU,0.3686089217662811,0.06429823487997055,0.567092776298523,sob
6,7FOi40uehC4,0.7558301091194153,0.1366070955991745,0.10756272077560423,smile
7,0dsnm3n6ZdM,0.8610461950302124,0.044256608933210366,0.09469719231128693,smile
8,rFwZqtPc-Ss,0.8433276414871216,0.034825973212718964,0.12184642255306245,smile
9,7Y8Vv_KHp7I,0.9058610200881958,0.035402774810791016,0.0587361715734005,smile
10,rRaBKB9gDSQ,0.42112448811531067,0.32735708355903625,0.2515184283256531,smile
11,TgdJcNU1dTA,0.8731338381767273,0.049536146223545074,0.07732999324798584,smile
12,JVqe_O7ifcI,0.7966242432594299,0.04657086730003357,0.1568049043416977,smile
13,T9Zu7tTz2dM,0.82022625207901,0.0558374896645546,0.12393630295991898,smile
14,1RsHY_mKLu4,0.875349760055542,0.03381882980465889,0.09083135426044464,smile
15,cOQEdUBpLjg,0.3849481046199799,0.4952731132507324,0.11977878212928772,angry
16,geZXCYNRvy4,0.1886141151189804,0.062261141836643226,0.7491247057914734,sob
17,nuGXWwu015c,0.8826419711112976,0.038329128175973885,0.07902892678976059,smile
18,Hfdq0zRyTeo,0.8919995427131653,0.034044940024614334,0.0739554911851883,smile
19,MbrqMzBRs0A,0.8819958567619324,0.04366210848093033,0.07434200495481491,smile
20,UVo1ApcOLMI,0.5377216935157776,0.06289328634738922,0.3993850350379944,smile
21,oQHdEeUcfO8,0.8959923386573792,0.033154793083667755,0.07085298001766205,smile
22,2ErtcO2XuYs,0.4110657870769501,0.0686103031039238,0.5203239321708679,sob
23,Wh6c_4YdGaw,0.5844187140464783,0.06781145185232162,0.3477698564529419,smile
24,5UahGcQ5u9k,0.8791503310203552,0.03892594948410988,0.0819237232208252,smile
25,Wl4_eeRw0JQ,0.7356497049331665,0.0519096702337265,0.21244056522846225,smile
26,7yuRQjZzGpU,0.8732510209083557,0.03917500749230385,0.0875740647315979,smile
27,RidIxC20hO4,0.8982430100440979,0.03355452045798302,0.0682024285197258,smile
28,RR-24Nmq34M,0.8004388809204102,0.05358802154660225,0.14597314596176147,smile
29,4ZK_-0BI2yQ,0.9244732856750488,0.022434065118432045,0.053092695772647865,smile
30,J2BXwa5eTwU,0.6824659109115601,0.04656045883893967,0.27097368240356445,smile
